商品ID,商品名,カテゴリ,在庫数,月間売上,仕入単価,販売単価,最終入荷日
P089,保冷バッグ,生活雑貨,25,13,580,1280,2026-04-20
P090,折りたたみチェア,生活雑貨,11,9,2200,4980,2026-05-01
P091,USBケーブル,PC周辺機器,64,48,280,680,2026-04-21
P092,HDMIケーブル,PC周辺機器,39,25,420,980,2026-04-26
P093,LANケーブル,PC周辺機器,55,22,240,580,2026-04-18
P094,ゲーミングキーボード,PC周辺機器,8,17,4200,8980,2026-05-06
P095,無線LANルーター,PC周辺機器,10,19,5200,9800,2026-05-07
P096,モバイルバッテリー,PC周辺機器,18,37,1800,3980,2026-05-03
P097,ノートPCケース,PC周辺機器,26,14,880,1980,2026-04-27
P098,USBハブ,PC周辺機器,32,16,780,1680,2026-04-29
P099,SDカード64GB,PC周辺機器,21,28,980,2280,2026-05-02
P100,Bluetoothスピーカー,PC周辺機器,12,23,3200,6980,2026-05-09
